OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitu,geoaltitud,lastposupd,lastcontac
1,1590364810,a198e5,39.353851318359375,-85.572987432065190,245.514862003595425,342.438279072753573,-0.325120000000000,EJM16   ,False,False,False,2212,9144.000000000000000,9532.620000000000800,1590364809.730999946594238,1590364809.888000011444092
2,1590364820,a198e5,39.375698283567267,-85.581909179687500,249.258603093187872,342.462561773637105,0.000000000000000,EJM16   ,False,False,False,2212,9144.000000000000000,9532.620000000000800,1590364819.858000040054321,1590364819.993000030517578
3,1590364830,a198e5,39.395965576171875,-85.590123715608001,252.511838598664951,342.450997770932247,0.325120000000000,EJM16   ,False,False,False,2212,9144.000000000000000,9532.620000000000800,1590364829.196000099182129,1590364829.976999998092651
4,1590364840,a198e5,39.419265747070312,-85.599617336107315,254.628993535463195,342.480241378793551,0.000000000000000,EJM16   ,False,False,False,2212,9151.620000000000800,9540.240000000001601,1590364839.934999942779541,1590364839.973999977111816
5,1590364850,a198e5,39.440551757812500,-85.608275040336252,257.236918443377704,342.543441866333126,0.000000000000000,EJM16   ,False,False,False,2212,9144.000000000000000,9532.620000000000800,1590364849.654999971389771,1590364849.891999959945679
6,1590364860,a198e5,39.462478637695312,-85.617171577785314,259.354278018435707,342.571398009731411,-0.325120000000000,EJM16   ,False,False,False,1420,9144.000000000000000,9532.620000000000800,1590364859.548000097274780,1590364859.914999961853027
7,1590364870,a198e5,39.484771728515625,-85.626247240149439,259.999407220382352,342.497190623893687,-0.325120000000000,EJM16   ,False,False,False,6503,9144.000000000000000,9532.620000000000800,1590364869.630000114440918,1590364869.990999937057495
8,1590364880,a198e5,39.507064819335938,-85.635322902513565,259.508826965658841,342.463030615679827,-0.325120000000000,EJM16   ,False,False,False,6503,9144.000000000000000,9532.620000000000800,1590364879.605000019073486,1590364879.960000038146973
9,1590364890,a198e5,39.529449462890625,-85.644398564877690,258.527944766423900,342.394321730094362,-0.325120000000000,EJM16   ,False,False,False,1420,9144.000000000000000,9532.620000000000800,1590364889.779000043869019,1590364889.934000015258789
10,1590364900,a198e5,39.552337646484375,-85.653772768766999,257.882213253337341,342.468695164590940,0.325120000000000,EJM16   ,False,False,False,1420,9144.000000000000000,9532.620000000000800,1590364899.890000104904175,1590364899.982000112533569
