OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1,1590364810,abef2f,41.504159701072560,-88.314939986827767,139.650464521360760,63.529340466543204,0.325120000000000,SWA6893 ,False,False,False,1210,1539.240000000000009,1569.720000000000027,1590364809.556999921798706,1590364809.857000112533569
2,1590364810,a23d25,39.759063720703125,-87.232460353685440,228.154609036854310,2.714021037099241,0.000000000000000,SWA399  ,False,False,False,3163,12192.000000000000000,12649.200000000000728,1590364809.796999931335449,1590364809.930999994277954
3,1590364810,abdd09,40.745864868164062,-82.465942382812500,209.393875332705306,287.589151826735701,-0.325120000000000,SWA163  ,False,False,False,7542,12184.380000000001019,12633.960000000000946,1590364808.802999973297119,1590364809.539000034332275
4,1590364810,a0a332,42.897125244140625,-87.849043025526896,134.041047218431970,219.861881422550994,25.684480000000001,FDX383  ,False,False,False,4326,1905.000000000000000,1935.480000000000018,1590364809.885999917984009,1590364809.979000091552734
5,1590364810,abf29f,41.815429687500000,-87.811473499644876,131.682591535934847,249.653540601945508,14.305280000000002,SWA195  ,False,False,False,6555,1485.900000000000091,1493.519999999999982,1590364806.782000064849854,1590364809.858000040054321
6,1590364810,aaed7f,42.710095421742579,-88.318580804869157,77.968396746719890,175.079383963635991,0.000000000000000,N803F   ,False,False,False,2635,2468.880000000000109,2529.840000000000146,1590364809.885999917984009,1590364809.980000019073486
7,1590364810,abf3da,41.788627624511719,-87.745758403431296,63.685175209849270,43.363422958383282,-0.650240000000000,SWA282  ,True,False,False,1520,,,1590364809.545000076293945,1590364809.545000076293945
8,1590364810,4bb145,43.676007804224042,-85.243246895926347,250.434382728588758,220.167244012865041,-4.226560000000000,THY6185 ,False,False,False,703,9776.460000000000946,10180.320000000001528,1590364809.480999946594238,1590364809.930999994277954
9,1590364810,aa80a7,41.539947509765625,-87.163779518821002,79.164223345779618,242.102728969052350,0.650240000000000,N776PS  ,False,False,False,,815.340000000000032,800.100000000000023,1590364777.987999916076660,1590364807.447999954223633
10,1590364810,a05646,42.016525268554688,-87.856916947798311,104.132666217615537,356.317725937694718,12.679680000000001,UAL931  ,False,False,False,6532,1021.080000000000041,990.600000000000023,1590364809.818000078201294,1590364809.838999986648560
11,1590364810,acc799,41.785020989886782,-87.749878639398617,,,,SWA1063 ,True,False,False,6560,,,1590364806.545000076293945,1590364806.545000076293945
12,1590364810,a26fc9,41.626052856445312,-87.973833951083122,139.406730523830475,56.896358050267430,-2.926080000000000,SWA312  ,False,False,False,2255,1242.060000000000173,1264.920000000000073,1590364809.533999919891357,1590364809.858000040054321
13,1590364810,a645b4,41.748001098632812,-87.892622514204561,142.553908332381042,196.996316128659288,15.930880000000000,GJS4520 ,False,False,False,1372,3124.200000000000273,3238.500000000000455,1590364806.335000038146973,1590364809.930999994277954
14,1590364810,a21127,41.892288208007812,-89.007547551935374,243.222681683908348,67.883534414456960,0.000000000000000,ENY4267 ,False,False,False,2253,8839.200000000000728,9189.720000000001164,1590364809.984999895095825,1590364809.984999895095825
15,1590364810,a1c39a,41.791717529296875,-88.624149669300436,58.757072315416806,3.513750260604966,0.650240000000000,N2122M  ,False,False,False,5363,1089.660000000000082,1082.040000000000191,1590364809.687999963760376,1590364809.688999891281128
16,1590364810,a2bec7,41.795837402343750,-88.067779541015625,179.753830254640860,267.211292320155792,21.457920000000001,SWA1081 ,False,False,False,1374,4091.940000000000055,4206.239999999999782,1590364809.674999952316284,1590364809.930999994277954
17,1590364810,abadd6,41.802512993246822,-87.700727595839396,112.771240960948049,83.977313102098549,9.103360000000000,SWA1384 ,False,False,False,1327,754.379999999999995,731.519999999999982,1590364798.128999948501587,1590364809.838999986648560
18,1590364810,a209c0,41.321777343750000,-86.937011718750000,156.695284934555502,325.162083194000729,-6.502400000000001,AAY2986 ,False,False,False,703,2941.320000000000164,3070.860000000000127,1590364809.857000112533569,1590364809.858000040054321
19,1590364810,a1e05f,41.608483266022247,-87.359895927961475,88.665136037141906,341.039416570620347,-0.325120000000000,N22TP   ,False,False,False,4074,1089.660000000000082,1097.279999999999973,1590364809.838999986648560,1590364809.838999986648560
20,1590364810,adb8cb,42.171157836914062,-87.951424338600873,40.248462615874615,125.112011184422187,-0.975360000000000,N9831G  ,False,False,False,5722,426.720000000000027,381.000000000000000,1590364809.545000076293945,1590364809.786000013351440
21,1590364810,a198e5,39.353851318359375,-85.572987432065190,245.514862003595425,342.438279072753573,-0.325120000000000,EJM16   ,False,False,False,2212,9144.000000000000000,9532.620000000000800,1590364809.730999946594238,1590364809.888000011444092
22,1590364810,a1d44e,41.750839233398438,-87.795181274414062,68.752895277203393,44.696850556285867,-3.576320000000000,SWA2132 ,False,False,False,2443,434.340000000000032,411.480000000000018,1590364809.858000040054321,1590364809.858000040054321
23,1590364810,a6d5e0,42.328460176112287,-87.933484454487598,102.873365522327347,149.331073350285067,0.000000000000000,N54DB   ,False,False,False,1573,5760.720000000000255,5981.700000000000728,1590364808.694999933242798,1590364809.885999917984009
