OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1,1590364980,89902f,46.315007613877114,-95.859420776367188,238.720863419716380,123.039396269712142,0.000000000000000,EVA056  ,False,False,False,,11277.600000000000364,11574.780000000000655,1590364979.977999925613403,1590364979.977999925613403
2,1590364990,89902f,46.306814420021183,-95.841224670410156,239.152284183011346,122.972198546885579,0.000000000000000,EVA056  ,False,False,False,,11277.600000000000364,11567.159999999999854,1590364987.236999988555908,1590364989.313999891281128
3,1590365000,89902f,46.291488647460938,-95.807145281535824,239.152284183011346,122.972198546885579,0.000000000000000,EVA056  ,False,False,False,,11277.600000000000364,11574.780000000000655,1590364999.694000005722046,1590364999.694000005722046
4,1590365010,89902f,46.280838271318856,-95.783546447753906,239.432650056177124,123.075476062388105,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365009.030999898910522,1590365009.030999898910522
5,1590365020,89902f,46.268967450675319,-95.757247924804688,239.432650056177124,123.075476062388105,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365019.404999971389771,1590365019.404999971389771
6,1590365030,89902f,46.256561279296875,-95.729705066215672,239.863893940457388,123.008412841323505,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365029.782999992370605,1590365029.782999992370605
7,1590365040,89902f,46.251983642578125,-95.719589605564011,239.432650056177124,123.075476062388105,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365033.933000087738037,1590365036.007999897003174
8,1590365050,89902f,46.251983642578125,-95.719589605564011,239.432650056177124,123.075476062388105,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365033.933000087738037,1590365042.239000082015991
9,1590365060,89902f,46.225616455078125,-95.661442454268297,239.432650056177124,123.075476062388105,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365056.765000104904175,1590365058.835999965667725
10,1590365070,89902f,46.211242675781250,-95.629823266006099,239.283383675208569,123.245923092867883,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365068.174999952316284,1590365069.217000007629395
11,1590365080,89902f,46.204788208007812,-95.615554437404683,239.713792054512396,123.178511659392754,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365074.400000095367432,1590365079.595000028610229
12,1590365090,89902f,46.191970825195312,-95.587284739424547,239.713792054512396,123.178511659392754,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365084.778000116348267,1590365086.852999925613403
13,1590365100,89902f,46.191970825195312,-95.587284739424547,239.713792054512396,123.178511659392754,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11574.780000000000655,1590365084.778000116348267,1590365086.852999925613403
14,1590365110,89902f,46.163480079780186,-95.524543762207031,239.713792054512396,123.178511659392754,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11582.399999999999636,1590365109.676000118255615,1590365109.676000118255615
15,1590365120,89902f,46.156082153320312,-95.508169778963406,239.713792054512396,123.178511659392754,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11582.399999999999636,1590365115.759000062942505,1590365119.023000001907349
16,1590365130,89902f,46.156082153320312,-95.508169778963406,239.713792054512396,123.178511659392754,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11582.399999999999636,1590365115.759000062942505,1590365119.023000001907349
17,1590365140,89902f,46.127821065611755,-95.446266174316406,240.278393521742316,123.383857843012166,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11582.399999999999636,1590365139.628000020980835,1590365139.769999980926514
18,1590365150,89902f,46.116415767346396,-95.421340942382812,240.708122207673910,123.316478526062568,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11582.399999999999636,1590365149.111999988555908,1590365149.111999988555908
19,1590365160,89902f,46.104451842227220,-95.395111083984375,240.708122207673910,123.316478526062568,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11582.399999999999636,1590365159.490000009536743,1590365159.490999937057495
20,1590365170,89902f,46.091491699218750,-95.366821289062500,240.708122207673910,123.316478526062568,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11582.399999999999636,1590365169.865000009536743,1590365169.865000009536743
21,1590365180,89902f,46.080337783037606,-95.342376708984375,241.138182595286992,123.249339453218795,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11582.399999999999636,1590365179.206000089645386,1590365179.206000089645386
22,1590365190,89902f,46.076380842823092,-95.333793640136719,241.420627141433414,123.351443930163384,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11582.399999999999636,1590365182.319999933242798,1590365187.506000041961670
23,1590365200,89902f,46.059109962592686,-95.296096801757812,241.703836582347861,123.453309454072695,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365196.838999986648560,1590365197.878999948501587
24,1590365210,89902f,46.044479370117188,-95.264326886432912,241.987808232456018,123.554936221079004,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365209.292000055313110,1590365209.292000055313110
25,1590365220,89902f,46.031737246755824,-95.236701965332031,242.416690116459762,123.487728945655931,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365219.673000097274780,1590365219.674000024795532
26,1590365230,89902f,46.022506713867188,-95.216630144817032,242.845904363548385,123.420759147284315,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365227.973000049591064,1590365229.009999990463257
27,1590365240,89902f,46.008224487304688,-95.185546875000000,242.845904363548385,123.420759147284315,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365239.391000032424927,1590365239.391000032424927
28,1590365250,89902f,45.996047973632812,-95.159152891577719,243.129630621052769,123.521946589724138,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365249.766999959945679,1590365249.766999959945679
29,1590365260,89902f,45.985061645507812,-95.135438500381099,243.414113417787831,123.622897826959075,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365259.105000019073486,1590365259.105999946594238
30,1590365270,89902f,45.973480224609375,-95.110250333460328,243.988049789255939,123.388513576111521,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365268.440999984741211,1590365269.477999925613403
